no,question,a,b,c,d,answer
566,Fingerprinting an Operating System helps a cracker because:,It defines exactly what software you have installed,It opens a security-delayed window based on the port being scanned,It doesn't depend on the patches that have been applied to fix existing security holes,It informs the cracker of which vulnerabilities he may be able to exploit on your system,D
567,You are attempting to man-in-the-middle a session. Which protocol will allow you to guess asequence number?,TCP,UPD,ICMP,UPX,A
568,"First thing you do every office day is to check your email inbox. One morning, you receivedan email from your best friend and the subject line is quite strange. What should you do?",Delete the email and pretend nothing happened.,Forward the message to your supervisor and ask for her opinion on how to handle the situation.,Forward the message to your company's security response team and permanently delete themessagefrom your computer.,Reply to the sender and ask them for more information about the message contents.,C
569,"During a blackbox pen test you attempt to pass IRC traffic over port 80/TCP from acompromised web enabled host. The traffic gets blocked; however, outbound HTTP traffic isunimpeded.What type of firewall is inspecting outbound traffic?",Application,Circuit,Stateful,Packet Filtering,A
570,"Neil notices that a single address is generating traffic from its port 500 to port 500 of severalother machines on the network. This scan is eating up most of the network bandwidth and Neil isconcerned. As a security professional, what would you infer from this scan?",It is a network fault and the originating machine is in a network loop,It is a worm that is malfunctioning or hardcoded to scan on port 500,The attacker is trying to detect machines on the network which have SSL enabled,The attacker is trying to determine the type of VPN implementation and checking for IPSec,D
571,Take a look at the following attack on a Web Server using obstructed URL:How would you protect from these attacks?,"Configure the Web Server to deny requests involving ""hex encoded"" characters",Create rules in IDS to alert on strange Unicode requests,Use SSL authentication on Web Servers,Enable Active Scripts Detection at the firewall and routers,B
572,Which of the following does proper basic configuration of snort as a network intrusiondetection system require?,Limit the packets captured to the snort configuration file.,Capture every packet on the network segment.,Limit the packets captured to a single segment.,Limit the packets captured to the /var/log/snort directory.,A
573,"Defining rules, collaborating human workforce, creating a backup plan, and testing the plansare within what phase of the Incident Handling Process?",Preparation phase,Containment phase,Recovery phase,Identification phase,A
574,Which of the following BEST describes how Address Resolution Protocol (ARP) works?,"It sends a reply packet for a specific IP, asking for the MAC address","It sends a reply packet to all the network elements, asking for the MAC address from a specific IP","It sends a request packet to all the network elements, asking for the domain name from a specificIP","It sends a request packet to all the network elements, asking for the MAC address from a specificIP",D
575,"It is a short-range wireless communication technology that allows mobile phones,computers and other devices to connect and communicate. This technology intends to replace cablesconnecting portable devices with high regards to security.",Bluetooth,Radio-Frequency Identification,WLAN,InfraRed,A
576,What is the benefit of performing an unannounced Penetration Testing?,The tester will have an actual security posture visibility of the target network.,"Network security would be in a ""best state"" posture.",It is best to catch critical infrastructure unpatched.,The tester could not provide an honest analysis.,A
577,A hacker was able to easily gain access to a website. He was able to log in via the frontenduser login form of the website using default or commonly used credentials. This exploitation is anexample of what Software design flaw?,Insufficient security management,Insufficient database hardening,Insufficient input validation,Insufficient exception handling,B
578,"When an alert rule is matched in a network-based IDS like snort, the IDS does which of thefollowing?",Drops the packet and moves on to the next one,Continues to evaluate the packet until all rules are checked,"Stops checking rules, sends an alert, and lets the packet continue",Blocks the connection with the source IP address in the packet,B
579,"If there is an Intrusion Detection System (IDS) in intranet, which port scanning techniquecannot be used?",Spoof Scan,TCP Connect scan,TCP SYN,Idle Scan,C
580,"You are performing information gathering for an important penetration test. You havefound pdf, doc, and images in your objective. You decide to extract metadata from these files andanalyze it.What tool will help you with the task?",Metagoofil,Armitage,Dimitry,cdpsnarf,A
581,The network administrator contacts you and tells you that she noticed the temperature onthe internal wireless router increases by more than 20% during weekend hours when the office wasclosed. She asks you to investigate the issue because she is busy dealing with a big conference andshe doesn't have time to perform the task.What tool can you use to view the network traffic being sent and received by the wireless router?,Wireshark,Nessus,Netcat,Netstat,A
582,"This tool is an 802.11 WEP and WPA-PSK keys cracking program that can recover keys onceenough data packets have been captured. It implements the standard FMS attack along with someoptimizations like KoreK attacks, as well as the PTW attack, thus making the attack much fastercompared to other WEP cracking tools.Which of the following tools is being described?",Aircrack-ng,Airguard,WLAN-crack,wificracker,A
583,"An attacker has installed a RAT on a host. The attacker wants to ensure that when a userattempts to go to""www.MyPersonalBank.com"", that the user is directed to a phishing site.Which file does the attacker need to modify?",Hosts,Sudoers,Boot.ini,Networks,A
584,Bob is going to perform an active session hijack against Brownies Inc. He has found a targetthat allows session oriented connections (Telnet) and performs the sequence prediction on the targetoperating system. He manages to find an active session due to the high level of traffic on thenetwork. What is Bob supposed to do next?,Take over the session,Reverse sequence prediction,Guess the sequence numbers,Take one of the parties offline,C
585,"The security concept of ""separation of duties"" is most similar to the operation of which typeof security device?",Firewall,Bastion host,Intrusion Detection System,Honeypot,A
586,"From the following table, identify the wrong answer in terms of Range (ft). ",802.11b,802.11g,802.16(WiMax),802.11a,D
587,You've just been hired to perform a pen test on an organization that has been subjected to alarge-scale attack.The CIO is concerned with mitigating threats and vulnerabilities to totally eliminate risk.What is one of the first things you should do when given the job?,"Explain to the CIO that you cannot eliminate all risk, but you will be able to reduce risk toacceptable levels.",Interview all employees in the company to rule out possible insider threats.,Establish attribution to suspected attackers.,Start the wireshark application to start sniffing network traffic.,A
588,Why containers are less secure that virtual machines?,Host OS on containers has a larger surface attack.,Containers may full fill disk space of the host.,A compromise container may cause a CPU starvation of the host.,Containers are attached to the same virtual network.,A
589,"To maintain compliance with regulatory requirements, a security audit of the systems on anetwork must be performed to determine their compliance with security policies. Which one of thefollowing tools would most likely be used in such an audit?",Vulnerability scanner,Protocol analyzer,Port scanner,Intrusion Detection System,A
590,"You have retrieved the raw hash values from a Windows 2000 Domain Controller. Usingsocial engineering, you come to know that they are enforcing strong passwords. You understand thatall users are required to use passwords that are at least 8 characters in length. All passwords mustalso use 3 of the 4 following categories:lower case letters, capital letters, numbers and special characters. With your existing knowledge ofusers, likely user account names and the possibility that they will choose the easiest passwordspossible, what would be the fastest type of password cracking attack you can run against these hashvalues and still get results?",Online Attack,Dictionary Attack,Brute Force Attack,Hybrid Attack,D
591,"When you are collecting information to perform a data analysis, Google commands are veryuseful to find sensitive information and files. These files may contain information about passwords,system functions, or documentation.What command will help you to search files using Google as a search engine?",site: target.com filetype:xls username password email,inurl: target.com filename:xls username password email,domain: target.com archive:xls username password email,site: target.com file:xls username password email,A
592,Which Metasploit Framework tool can help penetration tester for evading Anti-virusSystems?,msfpayload,msfcli,msfencode,msfd,C
593,Sandra has been actively scanning the client network on which she is doing a vulnerabilityassessment test.While conducting a port scan she notices open ports in the range of 135 to 139.What protocol is most likely to be listening on those ports?,Finger,FTP,Samba,SMB,D
594,"At a Windows Server command prompt, which command could be used to list the runningservices?",Sc query type= running,Sc query \\servername,Sc query,Sc config,C
595,The fundamental difference between symmetric and asymmetric key cryptographic systemsis that symmetric key cryptography uses which of the following?,Multiple keys for non-repudiation of bulk data,Different keys on both ends of the transport medium,Bulk encryption for data transmission over fiber,The same key on each end of the transmission medium,D
596,What mechanism in Windows prevents a user from accidentally executing a potentiallymalicious batch (.bat) or PowerShell (.ps1) script?,User Access Control (UAC),Data Execution Prevention (DEP),Address Space Layout Randomization (ASLR),Windows firewall,B
597,"Knowing the nature of backup tapes, which of the following is the MOST RECOMMENDEDway of storing backup tapes?",In a cool dry environment,Inside the data center for faster retrieval in a fireproof safe,In a climate controlled facility offsite,On a different floor in the same building,C
598,Which of the following tools would MOST LIKELY be used to perform security audit onvarious of forms of network systems?,Intrusion Detection System,Vulnerability scanner,Port scanner,Protocol analyzer,B
599,A company firewall engineer has configured a new DMZ to allow public systems to belocated away from the internal network. The engineer has three security zones set: The engineer wants to configure remote desktop access from a fixed IP on the remote network to aremote desktop server in the DMZ. Which rule would best fit this requirement?,Permit 217.77.88.0/24 11.12.13.0/24 RDP 3389,Permit 217.77.88.12 11.12.13.50 RDP 3389,Permit 217.77.88.12 11.12.13.0/24 RDP 3389,Permit 217.77.88.0/24 11.12.13.50 RDP 3389,B
600,"A consultant has been hired by the V.P. of a large financial organization to assess thecompany's security posture. During the security testing, the consultant comes across childpornography on the V.P.'s computer.What is the consultant's obligation to the financial organization?",Say nothing and continue with the security testing.,Stop work immediately and contact the authorities.,"Delete the pornography, say nothing, and continue security testing.",Bring the discovery to the financial organization's human resource department.,B
601,"Tess King is using the nslookup command to craft queries to list all DNS information (such asName Servers, host names, MX records, CNAME records, glue records (delegation for child Domains),zone serial number, TimeToLive (TTL) records, etc) for a Domain.What do you think Tess King is trying to accomplish? Select the best answer.",A zone harvesting,A zone transfer,A zone update,A zone estimate,B
602,Which of the following is a protocol specifically designed for transporting event messages?,SYSLOG,SMS,SNMP,ICMP,A
603,Alice encrypts her data using her public key PK and stores the encrypted data in the cloud.Which of the following attack scenarios will compromise the privacy of her data?,None of these scenarios compromise the privacy of Alice's data,"Agent Andrew subpoenas Alice, forcing her to reveal her private key. However, the cloud serversuccessfully resists Andrew's attempt to access the stored data",Hacker Harry breaks into the cloud server and steals the encrypted data,"Alice also stores her private key in the cloud, and Harry breaks into the cloud server as before",D
604,"The network administrator at Spears Technology, Inc has configured the default gatewayCisco router's access-list as below:You are hired to conduct security testing on their network.You successfully brute-force the SNMP community string using a SNMP crack tool.The access-list configured at the router prevents you from establishing a successful connection.You want to retrieve the Cisco configuration from the router. How would you proceed?",Use the Cisco's TFTP default password to connect and download the configuration file,Run a network sniffer and capture the returned traffic with the configuration file from the router,Run Generic Routing Encapsulation (GRE) tunneling protocol from your computer to the routermasking your IP address,Send a customized SNMP set request with a spoofed source IP address in the range -192.168.1.0,B
605,"In order to prevent particular ports and applications from getting packets into anorganization, what does a firewall check?",Network layer headers and the session layer port numbers,Presentation layer headers and the session layer port numbers,Application layer port numbers and the transport layer headers,Transport layer port numbers and application layer headers,D
606,You have successfully gained access to your client's internal network and successfullycomprised a Linux server which is part of the internal IP network. You want to know which MicrosoftWindows workstations have file sharing enabled.Which port would you see listening on these Windows machines in the network?,445,3389,161,1433,A
607,The following are types of Bluetooth attack EXCEPT_____?,Bluejacking,Bluesmaking,Bluesnarfing,Bluedriving,D
608,Destination unreachable administratively prohibited messages can inform the hacker towhat?,That a circuit level proxy has been installed and is filtering traffic,That his/her scans are being blocked by a honeypot or jail,That the packets are being malformed by the scanning software,That a router or other packet-filtering device is blocking trafficE. That the network is functioning normally,D
609,"A possibly malicious sequence of packets that were sent to a web server has been capturedby an Intrusion Detection System (IDS) and was saved to a PCAP file. As a network administrator, youneed to determine whether this packets are indeed malicious. What tool are you going to use?",Intrusion Prevention System (IPS),Vulnerability scanner,Protocol analyzer,Network sniffer,C
610,"A penetration tester is conducting a port scan on a specific host. The tester found severalports opened that were confusing in concluding the Operating System (OS) version installed.Considering the NMAP result below, which of the following is likely to be installed on the targetmachine by the OS? ",The host is likely a Windows machine.,The host is likely a Linux machine.,The host is likely a router.,The host is likely a printer.,D
611,Which results will be returned with the following Google search query?site:target.com -site:Marketing.target.com accounting,Results matching all words in the query,"Results matching ""accounting"" in domain target.com but not on the site Marketing.target.com",Results from matches on the site marketing.target.com that are in the domain target.com but donot include the word accounting,"Results for matches on target.com and Marketing.target.com that include the word ""accounting""",B
612,"What is the most common method to exploit the ""Bash Bug"" or ""ShellShock"" vulnerability?",Through Web servers utilizing CGI (Common Gateway Interface) to send a malformedenvironment variable to a vulnerable Web server,Manipulate format strings in text fields,SSH,SYN Flood,A
613,"It is an entity or event with the potential to adversely impact a system through unauthorizedaccess, destruction, disclosure, denial of service or modification of data.Which of the following terms best matches the definition?",Threat,Attack,Vulnerability,Risk,A
614,Which of the following cryptography attack methods is usually performed without the useof a computer?,Ciphertext-only attack,Chosen key attack,Rubber hose attack,Rainbow table attack,C
615,Which statement best describes a server type under an N-tier architecture?,A group of servers at a specific layer,A single server with a specific role,A group of servers with a unique role,A single server at a specific layer,C
616,"When utilizing technical assessment methods to assess the security posture of a network,which of the following techniques would be most effective in determining whether end-user securitytraining would be beneficial?",Vulnerability scanning,Social engineering,Application security testing,Network sniffing,B
617,Which statement is TRUE regarding network firewalls preventing Web Application attacks?,Network firewalls can prevent attacks because they can detect malicious HTTP traffic.,Network firewalls cannot prevent attacks because ports 80 and 443 must be opened.,Network firewalls can prevent attacks if they are properly configured.,Network firewalls cannot prevent attacks because they are too complex to configure.,B
618,"You work as a Security Analyst for a retail organization. In securing the company's network,you set up a firewall and an IDS. However, hackers are able to attack the network. After investigating,you discover that your IDS is not configured properly and therefore is unable to trigger alarms whenneeded. What type of alert is the IDS giving?",False Negative,False Positive,True Negative,True Positive,A
619,"The intrusion detection system at a software development company suddenly generatesmultiple alerts regarding attacks against the company's external webserver, VPN concentrator, andDNS servers. What should the security team do to determine which alerts to check first?",Investigate based on the maintenance schedule of the affected systems.,Investigate based on the service level agreements of the systems.,Investigate based on the potential effect of the incident.,Investigate based on the order that the alerts arrived in.,C
620,What type of OS fingerprinting technique sends specially crafted packets to the remote OSand analyzes the received response?,Passive,Reflective,Active,Distributive,C
621,"During a penetration test, a tester finds a target that is running MS SQL 2000 with defaultcredentials. The tester assumes that the service is running with Local System account. How can thisweakness be exploited to access the system?",Using the Metasploit psexec module setting the SA / Admin credential,Invoking the stored procedure xp_shell to spawn a Windows command shell,Invoking the stored procedure cmd_shell to spawn a Windows command shell,Invoking the stored procedure xp_cmdshell to spawn a Windows command shell,D
622,What is the primary drawback to using advanced encryption standard (AES) algorithm with a256 bit key to share sensitive data?,"Due to the key size, the time it will take to encrypt and decrypt the message hinders efficientcommunication.",To get messaging programs to function with this algorithm requires complex configurations.,"It has been proven to be a weak cipher; therefore, should not be trusted to protect sensitive data.","It is a symmetric key algorithm, meaning each recipient must receive the key through a differentchannel than the message.",D
623,"Nathan is testing some of his network devices. Nathan is using Macof to try and flood theARP cache of these switches.If these switches' ARP cache is successfully flooded, what will be the result?",The switches will drop into hub mode if the ARP cache is successfully flooded.,"If the ARP cache is flooded, the switches will drop into pix mode making it less susceptible toattacks.","Depending on the switch manufacturer, the device will either delete every entry in its ARP cacheor reroute packets to the nearest switch.",The switches will route all traffic to the broadcast address created collisions.,A
624,This is an attack that takes advantage of a web site vulnerability in which the site displayscontent that includes un-sanitized user-provided data. What is this attack?,Cross-site-scripting attack,SQL Injection,URL Traversal attack,Buffer Overflow attack,A
625,"When setting up a wireless network, an administrator enters a pre-shared key for security.Which of the following is true?",The key entered is a symmetric key used to encrypt the wireless data.,The key entered is a hash that is used to prove the integrity of the wireless data.,The key entered is based on the Diffie-Hellman method.,The key is an RSA key used to encrypt the wireless data.,A
626,"For messages sent through an insecure channel, a properly implemented digital signaturegives the receiver reason to believe the message was sent by the claimed sender. While using adigital signature, the message digest is encrypted with which key?",Sender's public key,Receiver's private key,Receiver's public key,Sender's private key,D
627,One advantage of an application-level firewall is the ability to,filter packets at the network level.,"filter specific commands, such as http:post.",retain state information for each packet.,monitor tcp handshaking.,B
628,"Jesse receives an email with an attachment labeled ""Court_Notice_21206.zip"". Inside the zipfile is a file named ""Court_Notice_21206.docx.exe"" disguised as a word document. Upon execution, awindow appears stating, ""This word document is corrupt."" In the background, the file copies itself toJesse APPDATA\local directory and begins to beacon to a C2 server to download additional maliciousbinaries.What type of malware has Jesse encountered?",Trojan,Worm,Macro Virus,Key-Logger,A
629,Rebecca commonly sees an error on her Windows system that states that a Data ExecutionPrevention (DEP) error has taken place. Which of the following is most likely taking place?,"A race condition is being exploited, and the operating system is containing the malicious process.","A page fault is occurring, which forces the operating system to write data from the hard drive.",Malware is executing in either ROM or a cache memory area.,Malicious code is attempting to execute instruction in a non-executable memory region.,D
630,Insecure direct object reference is a type of vulnerability where the application does notverify if the user is authorized to access the internal object via its name or key.Suppose a malicious user Rob tries to get access to the account of a benign user Ned.Which of the following requests best illustrates an attempt to exploit an insecure direct objectreference vulnerability?,"""GET/restricted/goldtransfer?to=Rob&from=1 or 1=1' HTTP/1.1Host: westbank.com""","""GET/restricted/accounts/?name=Ned HTTP/1.1 Host: westbank.com""","""GET/restricted/bank.getaccount('Ned') HTTP/1.1 Host: westbank.com""","""GET/restricted/\r\n\%00account%00Ned%00access HTTP/1.1 Host: westbank.com""",B
631,"Based on the below log, which of the following sentences are true?Mar 1, 2016, 7:33:28 AM 10.240.250.23 - 54373 10.249.253.15 - 22 tcp_ip",SSH communications are encrypted it's impossible to know who is the client or the server,Application is FTP and 10.240.250.23 is the client and 10.249.253.15 is the server,Application is SSH and 10.240.250.23 is the client and 10.249.253.15 is the server,Application is SSH and 10.240.250.23 is the server and 10.249.253.15 is the server,C
632,Which of the statements concerning proxy firewalls is correct?,Proxy firewalls increase the speed and functionality of a network.,Firewall proxy servers decentralize all activity for an application.,Proxy firewalls block network packets from passing to and from a protected network.,Computers establish a connection with a proxy firewall which initiates a new network connectionfor the client.,D
633,"A new wireless client is configured to join a 802.11 network. This client uses the samehardware and software as many of the other clients on the network. The client can see the network,but cannot connect. A wireless packet sniffer shows that the Wireless Access Point (WAP) is notresponding to the association requests being sent by the wireless client.What is a possible source of this problem?",The WAP does not recognize the client's MAC address,The client cannot see the SSID of the wireless network,Client is configured for the wrong channel,The wireless client is not configured to use DHCP,A
634,Which method of password cracking takes the most time and effort?,Brute force,Rainbow tables,Dictionary attack,Shoulder surfing,A
635,How can rainbow tables be defeated?,Password salting,Use of non-dictionary words,All uppercase character passwords,Lockout accounts under brute force password cracking attempts,A
636,"When creating a security program, which approach would be used if senior management issupporting and enforcing the security policy?",A bottom-up approach,A top-down approach,A senior creation approach,An IT assurance approach,B
637,"The ""white box testing"" methodology enforces what kind of restriction?",The internal operation of a system is completely known to the tester.,Only the external operation of a system is accessible to the tester.,Only the internal operation of a system is known to the tester.,The internal operation of a system is only partly accessible to the tester.,A
638,You are attempting to crack LM Manager hashed from Windows 2000 SAM file. You will beusing LM Brute force hacking tool for decryption. What encryption algorithm will you be decrypting?,MD4,DES,SHA,SSL,B
639,Which of the following business challenges could be solved by using a vulnerability scanner?,Auditors want to discover if all systems are following a standard naming convention.,A web server was compromised and management needs to know if any further systems werecompromised.,There is an emergency need to remove administrator access from multiple machines for anemployee that quit.,There is a monthly requirement to test corporate compliance with host application usage andsecurity policies.,D
640,What is the main advantage that a network-based IDS/IPS system has over a host-basedsolution?,They do not use host system resources.,"They are placed at the boundary, allowing them to inspect all traffic.",They are easier to install and configure.,They will not interfere with user interfaces.,A
641,An attacker sniffs encrypted traffic from the network and is subsequently able to decrypt it.The attacker can now use which cryptanalytic technique to attempt to discover the encryption key?,Birthday attack,Plaintext attack,Meet in the middle attack,Chosen ciphertext attack,D
642,"One of the Forbes 500 companies has been subjected to a large scale attack. You are one ofthe shortlisted pen testers that they may hire. During the interview with the CIO, he emphasized thathe wants to totally eliminate all risks. What is one of the first things you should do when hired?",Interview all employees in the company to rule out possible insider threats.,Establish attribution to suspected attackers.,"Explain to the CIO that you cannot eliminate all risk, but you will be able to reduce risk toacceptable levels.",Start the Wireshark application to start sniffing network traffic.,C
643,Which of the following types of firewall inspects only header information in network traffic?,Packet filter,Stateful inspection,Circuit-level gateway,Application-level gateway,A
644,"In which of the following password protection technique, random strings of characters areadded to the password before calculating their hashes?",Keyed Hashing,Key Stretching,Salting,Double Hashing,C
645,"Analyst is investigating proxy logs and found out that one of the internal user visitedwebsite storing suspicious Java scripts. After opening one of them, he noticed that it is very hard tounderstand the code and that all codes differ from the typical Java script. What is the name of thistechnique to hide the code and extend analysis time?",Encryption,Code encoding,Obfuscation,Steganography,A
646,You've just gained root access to a Centos 6 server after days of trying. What tool shouldyou use to maintain access?,Disable Key Services,Create User Account,Download and Install Netcat,Disable IPTables,B
647,E-mail scams and mail fraud are regulated by which of the following?,18 U.S.C. par. 1030 Fraud and Related activity in connection with Computers,18 U.S.,par. 1030 Fraud and Related activity in connection with ComputersB. 18 U.S.,18 U.S.C. par. 2510 Wire and Electronic Communications Interception and Interception of OralCommunication,A
648,"The chance of a hard drive failure is known to be once every four years. The cost of a newhard drive is 
500.EF (Exposure Factor) is about 0.5. Calculate for the Annualized Loss Expectancy (ALE).","
62.5","
250","
125","
65.2",A
649,"A user on your Windows 2000 network has discovered that he can use L0phtcrack to sniffthe SMB exchanges which carry user logons. The user is plugged into a hub with 23 other systems.However, he is unable to capture any logons though he knows that other users are logging in.What do you think is the most likely reason behind this?",There is a NIDS present on that segment.,Kerberos is preventing it.,Windows logons cannot be sniffed.,L0phtcrack only sniffs logons to web servers.,B
650,"In the software security development life cycle process, threat modeling occurs in whichphase?",Design,Requirements,Verification,Implementation,A
651,"Your team has won a contract to infiltrate an organization. The company wants to have theattack be as realistic as possible; therefore, they did not provide any information besides thecompany name.What should be the first step in security testing the client?",Reconnaissance,Enumeration,Scanning,Escalation,A
652,"Eve is spending her day scanning the library computers. She notices that Alice is using acomputer whose port445 is active and listening. Eve uses the ENUM tool to enumerate Alice machine. From the commandprompt, she types the following command. What is Eve trying to do?",Eve is trying to connect as a user with Administrator privileges,Eve is trying to enumerate all users with Administrative privileges,Eve is trying to carry out a password crack for user Administrator,Eve is trying to escalate privilege of the null user to that of Administrator,C
653,You are the Systems Administrator for a large corporate organization. You need to monitorall network traffic on your local network for suspicious activities and receive notifications when anattack is occurring. Which tool would allow you to accomplish this goal?,Network-based IDS,Firewall,Proxy,Host-based IDS,A
654,An attacker uses a communication channel within an operating system that is neitherdesigned nor intended to transfer information. What is the name of the communications channel?,Classified,Overt,Encrypted,Covert,D
655,What does the -oX flag do in an Nmap scan?,Perform an express scan,Output the results in truncated format to the screen,Perform an Xmas scan,Output the results in XML format to a file,D
656,"In many states sending spam is illegal. Thus, the spammers have techniques to try andensure that no one knows they sent the spam out to thousands of users at a time. Which of thefollowing best describes what spammers use to hide the origin of these types of e-mails?",A blacklist of companies that have their mail server relays configured to allow traffic only to theirspecific domain name.,"Mail relaying, which is a technique of bouncing e-mail from internal to external mails serverscontinuously.",A blacklist of companies that have their mail server relays configured to be wide open.,Tools that will reconfigure a mail server's relay component to send the e-mail back to thespammers occasionally.,B
657,What is correct about digital signatures?,A digital signature cannot be moved from one signed document to another because it is the hashof the original document encrypted with the private key of the signing party.,Digital signatures may be used in different documents of the same type.,A digital signature cannot be moved from one signed document to another because it is a plainhash of the document content.,Digital signatures are issued once for each user and can be used everywhere until they expire.,A
658,Null sessions are un-authenticated connections (not using a username or password.) to anNT or 2000 system.Which TCP and UDP ports must you filter to check null sessions on your network?,137 and 139,137 and 443,139 and 443,139 and 445,D
659,"Backing up data is a security must. However, it also has certain level of risks whenmishandled. Which of the following is the greatest threat posed by backups?",A backup is the source of Malware or illicit information,A backup is incomplete because no verification was performed,A backup is unavailable during disaster recovery,An unencrypted backup can be misplaced or stolen,D
660,What is the best description of SQL Injection?,It is an attack used to gain unauthorized access to a database.,It is an attack used to modify code in an application.,It is a Man-in-the-Middle attack between your SQL Server and Web App Server.,It is a Denial of Service Attack.,A
661,"A company has five different subnets: 192.168.1.0, 192.168.2.0, 192.168.3.0, 192.168.4.0and 192.168.5.0.How can NMAP be used to scan these adjacent Class C networks?",NMAP -P 192.168.1-5.,NMAP -P 192.168.0.0/16,"NMAP -P 192.168.1.0,2.0,3.0,4.0,5.0",NMAP -P 192.168.1/17,A
662,Which of the following will perform an Xmas scan using NMAP?,nmap -sA 192.168.1.254,nmap -sP 192.168.1.254,nmap -sX 192.168.1.254,nmap -sV 192.168.1.254,C
663,"_________ is a set of extensions to DNS that provide to DNS clients (resolvers) originauthentication of DNS data to reduce the threat of DNS poisoning, spoofing, and similar attackstypes.",DNSSEC,Zone transfer,Resource transfer,Resource records,A
664,Which definition among those given below best describes a covert channel?,A server program using a port that is not well known.,Making use of a protocol in a way it is not intended to be used.,It is the multiplexing taking place on a communication link.,It is one of the weak channels used by WEP which makes it insecure,B
665,"Which of the following is a restriction being enforced in ""white box testing?""",Only the internal operation of a system is known to the tester,The internal operation of a system is completely known to the tester,The internal operation of a system is only partly accessible to the tester,Only the external operation of a system is accessible to the tester,B
666,An unauthorized individual enters a building following an employee through the employeeentrance after the lunch rush. What type of breach has the individual just performed?,Reverse Social Engineering,Tailgating,Piggybacking,Announced,B
667,A company has hired a security administrator to maintain and administer Linux andWindows-based systems.Written in the nightly report file is the following:Firewall log files are at the expected value of 4 MB. The current time is 12am. Exactly two hours laterthe size has decreased considerably. Another hour goes by and the log files have shrunk in size again.Which of the following actions should the security administrator take?,Log the event as suspicious activity and report this behavior to the incident response teamimmediately.,The current time is 12am. Exactly two hours laterthe size has decreased considerably. Another hour goes by and the log files have shrunk in size again.Which of the following actions should the security administrator take?A. Log the event as suspicious activity and report this behavior to the incident response teamimmediately.,Run an anti-virus scan because it is likely the system is infected by malware.,"Log the event as suspicious activity, continue to investigate, and act according to the site's securitypolicy.",D
668,Which of the following identifies the three modes in which Snort can be configured to run?,"Sniffer, Packet Logger, and Network Intrusion Detection System","Sniffer, Network Intrusion Detection System, and Host Intrusion Detection System","Sniffer, Host Intrusion Prevention System, and Network Intrusion Prevention System","Sniffer, Packet Logger, and Host Intrusion Prevention System",A
669,Which of the following statements about a zone transfer is correct? (Choose three.),A zone transfer is accomplished with the DNS,A zone transfer is accomplished with the nslookup service,A zone transfer passes all zone information that a DNS server maintains,A zone transfer passes all zone information that a nslookup server maintainsE. A zone transfer can be prevented by blocking all inbound TCP port 53 connectionsF. Zone transfers cannot occur on the Internet,A
670,A well-intentioned researcher discovers a vulnerability on the web site of a majorcorporation. What should he do?,Ignore it.,Try to sell the information to a well-paying party on the dark web.,Notify the web site owner so that corrective action be taken as soon as possible to patch thevulnerability.,Exploit the vulnerability without harming the web site owner so that attention be drawn to theproblem.,C
671,"You are an Ethical Hacker who is auditing the ABC company. When you verify the NOC oneof the machines has 2 connections, one wired and the other wireless. When you verify theconfiguration of this Windows system you find two static routes.route add 10.0.0.0 mask 255.0.0.0 10.0.0.1route add 0.0.0.0 mask 255.0.0.0 199.168.0.1What is the main purpose of those static routes?",Both static routes indicate that the traffic is external with different gateway.,The first static route indicates that the internal traffic will use an external gateway and the secondstatic route indicates that the traffic will be rerouted.,Both static routes indicate that the traffic is internal with different gateway.,The first static route indicates that the internal addresses are using the internal gateway and thesecond static route indicates that all the traffic that is not internal must go to an external gateway.,D
672,Which of the following statements regarding ethical hacking is incorrect?,Ethical hackers should never use tools or methods that have the potential of exploitingvulnerabilities in an organization's systems.,Testing should be remotely performed offsite.,An organization should use ethical hackers who do not sell vendor hardware/software or otherconsulting services.,Ethical hacking should not involve writing to or modifying the target systems.,A
673,Low humidity in a data center can cause which of the following problems?,Heat,Corrosion,Static electricity,Airborne contamination,C
674,Seth is starting a penetration test from inside the network. He hasn't been given anyinformation about the network. What type of test is he conducting?,Internal Whitebox,"External, Whitebox","Internal, Blackbox","External, Blackbox",C
675,Which type of scan measures a person's external features through a digital video camera?,Iris scan,Retinal scan,Facial recognition scan,Signature kinetics scan,C
676,A security policy will be more accepted by employees if it is consistent and has the supportof,coworkers.,executive management.,the security officer.,a supervisor.,B
677,This international organization regulates billions of transactions daily and provides securityguidelines to protect personally identifiable information (PII). These security controls provide abaseline and prevent low-level hackers sometimes known as script kiddies from causing a databreach.Which of the following organizations is being described?,Payment Card Industry (PCI),Center for Disease Control (CDC),Institute of Electrical and Electronics Engineers (IEEE),International Security Industry Organization (ISIO),A
678,"When purchasing a biometric system, one of the considerations that should be reviewed isthe processing speed. Which of the following best describes what it is meant by processing?",The amount of time it takes to convert biometric data into a template on a smart card.,The amount of time and resources that are necessary to maintain a biometric system.,The amount of time it takes to be either accepted or rejected form when an individual providesIdentification and authentication information.,How long it takes to setup individual user accounts.,C
679,"While performing online banking using a Web browser, a user receives an email thatcontains a link to an interesting Web site. When the user clicks on the link, another Web browsersession starts and displays a video of cats playing a piano. The next business day, the user receiveswhat looks like an email from his bank, indicating that his bank account has been accessed from aforeign country. The email asks the user to call his bank and verify the authorization of a fundstransfer that took place.What Web browser-based security vulnerability was exploited to compromise the user?",Cross-Site Request Forgery,Cross-Site Scripting,Clickjacking,Web form input validation,A
